brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket
Unknown,Elite Neckties Necktie Men's  Combo,"[""Clothing >> Men's Clothing >> Elite Neckties Men's Clothing""]",,1199.0,399.0,66.72226855713093,Clothing,Men's Clothing,<₹500
Kundali,Kundali Pukhraj Stone Weight - 3.8 Carat / 4.47 Ratti Gold Sapphire 18 K Ring,"[""Jewellery >> Rings""]",,45856.0,39875.0,13.043004187020237,Jewellery,Rings,₹5K+
Unknown,"Lee Solid V-neck Casual, Party Men's Sweater","[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Lee Sweaters""]",,2299.0,1494.0,35.01522401043932,Clothing,Men's Clothing,₹1K–2K
Myesquire,Myesquire Square Pot Aroma Electric Burner Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Handheld Air Fresheners >> Myesquire Handheld Air Fresheners""]",,1600.0,628.0,60.75000000000001,Home Decor & Festive Needs,Candles & Fragrances,₹500–1K
Myesquire,Myesquire Black and White Aroma Burner Combo Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,750.0,310.0,58.666666666666664,Home Decor & Festive Needs,Candles & Fragrances,<₹500
Myesquire,Myesquire Oval Electric Aroma Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oil & Diffuser Sets >> Myesquire Aroma Oil & Diffuser Sets""]",,890.0,590.0,33.70786516853933,Home Decor & Festive Needs,Candles & Fragrances,₹500–1K
Myesquire,Myesquire Oval Electric Aroma Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,955.0,599.0,37.27748691099477,Home Decor & Festive Needs,Candles & Fragrances,₹500–1K
Unknown,Pulpypapaya Self Design Women's Round Neck T-Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Polos & T-Shirts >> Pulpypapaya Polos & T-Shirts""]",,499.0,349.0,30.060120240480963,Clothing,Women's Clothing,<₹500
Unknown,Kea Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Kea Tops""]",,1999.0,199.0,90.04502251125562,Clothing,Women's Clothing,<₹500
Unknown,Rampwalk Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Rampwalk Tops""]",,799.0,359.0,55.06883604505632,Clothing,Women's Clothing,<₹500
