brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Rapter,Rapter BNC-179 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",,2299.0,1400.0,39.10395824271423,Tools & Hardware,Tools,₹1K–2K,3,20–40%,3
Vishudh,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",,999.0,499.0,50.05005005005005,Vishudh Printed Women's Straight Kurta,,<₹500,1,40–60%,4
Vishudh,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",,899.0,449.0,50.055617352614014,Vishudh Printed Women's Straight Kurta,,<₹500,1,40–60%,4
Vishudh,Vishudh Printed Women's Anarkali Kurta,"[""Vishudh Printed Women's Anarkali Kurta""]",,2099.0,1049.0,50.02382086707956,Vishudh Printed Women's Anarkali Kurta,,₹1K–2K,3,40–60%,4
BuildTrack,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",,6500.0,5000.0,23.07692307692308,BuildTrack PIR Wireless Motion Sensor - One Swit...,,₹2K–5K,4,20–40%,3
Skayvon,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",,9990.0,4990.0,50.05005005005005,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...,,₹2K–5K,4,40–60%,4
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,1399.0,599.0,57.18370264474625,MASARA Solid Women's Straight Kurta,,₹500–1K,2,40–60%,4
Rapter,Rapter BNC-047 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",,1299.0,899.0,30.792917628945343,Tools & Hardware,Tools,₹500–1K,2,20–40%,3
Skayvon,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]",,8999.0,4990.0,44.54939437715302,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...,,₹2K–5K,4,40–60%,4
Behringer,Behringer Xenyx 502 Analog Sound Mixer,"[""Behringer Xenyx 502 Analog Sound Mixer""]",,10000.0,6600.0,34.0,Behringer Xenyx 502 Analog Sound Mixer,,₹5K+,5,20–40%,3
